ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
1,Adelaide,Next Generation Adelaide International,1/2/06,International,Outdoor,Hard,1st Round,3,Berdych T.,Calleri A.,24.0,51.0,1200.0,692.0,6.0,4.0,6,7,6,4,,,,,2.0,1,Completed,1.39,2.75,1.4,2.85,1.35,3.1,1.446,3.04,1.38,2.94
1,Adelaide,Next Generation Adelaide International,1/2/06,International,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Guccione C.,86.0,156.0,470.0,265.0,6.0,4.0,6,3,,,,,,,2.0,0,Completed,1.53,2.37,1.67,2.15,1.6,2.25,1.719,2.29,1.57,2.34
1,Adelaide,Next Generation Adelaide International,1/2/06,International,Outdoor,Hard,1st Round,3,Malisse X.,Luczak P.,47.0,146.0,731.0,286.0,7.0,6.0,6,3,,,,,,,2.0,0,Completed,1.28,3.25,1.3,3.4,1.3,3.35,1.391,3.36,1.33,3.2
1,Adelaide,Next Generation Adelaide International,1/2/06,International,Outdoor,Hard,1st Round,3,Robredo T.,Melzer J.,19.0,52.0,1490.0,690.0,7.0,5.0,6,4,,,,,,,2.0,0,Completed,1.53,2.37,1.6,2.3,1.5,2.5,1.6059999999999999,2.55,1.56,2.36
1,Adelaide,Next Generation Adelaide International,1/2/06,International,Outdoor,Hard,1st Round,3,Ancic M.,Clement A.,21.0,69.0,1360.0,558.0,6.0,0.0,6,2,,,,,,,2.0,0,Completed,1.44,2.62,1.5,2.55,1.42,2.75,1.5490000000000002,2.72,1.53,2.42
1,Adelaide,Next Generation Adelaide International,1/3/06,International,Outdoor,Hard,1st Round,3,Mayer F.,Monaco J.,72.0,85.0,519.0,477.0,6.0,2.0,6,4,,,,,,,2.0,0,Completed,1.5,2.5,1.6,2.3,1.48,2.53,1.6059999999999999,2.55,1.57,2.34
1,Adelaide,Next Generation Adelaide International,1/3/06,International,Outdoor,Hard,1st Round,3,Seppi A.,Pashanski B.,68.0,82.0,562.0,498.0,6.0,4.0,6,4,,,,,,,2.0,0,Completed,1.4,2.75,1.5,2.55,1.53,2.4,1.524,2.77,,
1,Adelaide,Next Generation Adelaide International,1/3/06,International,Outdoor,Hard,1st Round,3,Philippoussis M.,Spadea V.,172.0,75.0,228.0,515.0,6.0,4.0,3,6,6,4,,,,,2.0,1,Completed,1.83,1.83,1.77,2.0,1.8,1.95,1.8769999999999998,2.04,1.77,2.0
1,Adelaide,Next Generation Adelaide International,1/3/06,International,Outdoor,Hard,1st Round,3,Karlovic I.,Chela J.I.,70.0,39.0,550.0,815.0,6.0,3.0,3,6,6,1,,,,,2.0,1,Completed,1.9,1.8,2.0,1.77,2.05,1.75,2.21,1.7630000000000001,1.96,1.8
1,Adelaide,Next Generation Adelaide International,1/3/06,International,Outdoor,Hard,1st Round,3,Blake J.,Martin A.,23.0,50.0,1230.0,711.0,6.0,3.0,6,3,,,,,,,2.0,0,Completed,1.12,5.5,1.16,5.0,1.13,5.5,1.163,6.55,1.16,4.95
